,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
422,1,28.8666667,-3.2957363,73.25,-3.1327885,73.25
423,1,28.8833333,-3.2947079,73.25,-3.133994,73.25
424,1,28.9,-3.2936794,73.25,-3.1351996,73.25
425,1,28.9166667,-3.292651,73.25,-3.1364052,73.25
426,1,28.9333333,-3.2916226,73.25,-3.1376107,73.25
427,1,28.95,-3.2905941,73.25,-3.1388163,73.25
428,1,28.9666667,-3.2895657,73.25,-3.1400219,73.25
429,1,28.9833333,-3.2885373,73.25,-3.1412274,73.25
430,1,29.0,-3.2875088,73.25,-3.142433,73.25
431,1,29.0166667,-3.2864804,73.25,-3.1436385,73.25
432,1,29.0333333,-3.285452,73.25,-3.1448441,73.25
433,1,29.05,-3.2844235,73.25,-3.1460497,73.25
434,1,29.0666667,-3.2833951,73.25,-3.1472552,73.25
435,1,29.0833333,-3.2823666,73.25,-3.1484608,73.25
436,1,29.1,-3.2813382,73.25,-3.1496664,73.25
437,1,29.1166667,-3.2803098,73.25,-3.1508719,73.25
438,1,29.1333333,-3.2792813,73.25,-3.1520775,73.25
439,1,29.15,-3.2782529,73.25,-3.1532831,73.25
440,1,29.1666667,-3.2772245,73.25,-3.1544886,73.25
