Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
7,22.9833333,0.1538775,74.6666667,-0.389315,74.6666667
8,22.9833333,0.3412459,73.6666667,-0.1466835,73.6666667
9,22.9833333,0.6999301,73.6666667,-0.0614203,73.6666667
10,22.9833333,0.9151933,72.6666667,0.1398955,72.6666667
11,22.9833333,1.1238775,71.6666667,0.3398955,71.6666667
12,22.9833333,1.4304564,71.6666667,0.5712113,71.6666667
13,22.9833333,1.7117722,70.6666667,0.7351586,70.6666667
14,22.9833333,1.983088,69.6666667,0.8617376,69.6666667
15,22.9833333,2.2370354,68.6666667,1.0430534,68.6666667
16,22.9833333,2.4770354,68.6666667,1.2504218,68.6666667
17,22.9833333,2.7209828,67.6666667,1.4717376,67.6666667
18,22.9833333,2.9209828,66.6666667,1.6530534,66.6666667
19,22.9833333,3.1744038,66.6666667,1.6609481,66.6666667
20,22.9833333,3.5109828,65.6666667,1.915685,65.6666667
21,22.9833333,3.7375617,65.6666667,2.0622639,65.6666667
1,23.0,-1.597882,80.6666667,-1.6892023,80.6666667
2,23.0,-1.3720926,79.6666667,-1.5519654,79.6666667
3,23.0,-0.9807768,78.6666667,-1.3319654,78.6666667
4,23.0,-0.6706452,77.6666667,-1.1090707,77.6666667
5,23.0,-0.4307768,76.6666667,-0.7892023,76.6666667
6,23.0,-0.1264347,75.6666667,-0.5892023,75.6666667
7,23.0,0.1551443,74.6666667,-0.3892023,74.6666667
8,23.0,0.3422495,73.6666667,-0.1463075,73.6666667
9,23.0,0.7008022,73.6666667,-0.060518,73.6666667
10,23.0,0.9165916,72.6666667,0.1409293,72.6666667
11,23.0,1.1251443,71.6666667,0.3409293,71.6666667
12,23.0,1.4323811,71.6666667,0.5723767,71.6666667
13,23.0,1.7138285,70.6666667,0.7367188,70.6666667
14,23.0,1.9852759,69.6666667,0.8639556,69.6666667
15,23.0,2.239618,68.6666667,1.045403,68.6666667
16,23.0,2.479618,68.6666667,1.2525083,68.6666667
17,23.0,2.7239601,67.6666667,1.4739556,67.6666667
18,23.0,2.9239601,66.6666667,1.655403,66.6666667
19,23.0,3.1767232,66.6666667,1.6640872,66.6666667
20,23.0,3.5139601,65.6666667,1.9182977,65.6666667
21,23.0,3.7411969,65.6666667,2.0655346,65.6666667
1,23.0166667,-1.5977995,80.6666667,-1.6890895,80.6666667
2,23.0166667,-1.3714837,79.6666667,-1.5511947,79.6666667
3,23.0166667,-0.9809574,78.6666667,-1.3311947,78.6666667
4,23.0166667,-0.6699047,77.6666667,-1.1080368,77.6666667
5,23.0166667,-0.4309574,76.6666667,-0.7890895,76.6666667
6,23.0166667,-0.1262205,75.6666667,-0.5890895,75.6666667
7,23.0166667,0.156411,74.6666667,-0.3890895,74.6666667
8,23.0166667,0.3432531,73.6666667,-0.1459316,73.6666667
9,23.0166667,0.7016742,73.6666667,-0.0596158,73.6666667
10,23.0166667,0.91799,72.6666667,0.1419632,72.6666667
11,23.0166667,1.126411,71.6666667,0.3419632,71.6666667
12,23.0166667,1.4343058,71.6666667,0.5735421,71.6666667
13,23.0166667,1.7158847,70.6666667,0.7382789,70.6666667
14,23.0166667,1.9874637,69.6666667,0.8661737,69.6666667
15,23.0166667,2.2422005,68.6666667,1.0477526,68.6666667
