Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_raw,EA_diff_B,Travel_time_y
20,34.8333333,0.2041987,80.3333333,20.0291207,0.8593509,80.3333333
21,34.8333333,0.1181736,79.3333333,20.2340252,1.0572456,79.3333333
1,34.85,-4.3016033,91.3333333,,-4.0368877,91.3333333
2,34.85,-3.9992349,91.3333333,,-3.7592561,91.3333333
3,34.85,-3.6592349,90.3333333,,-3.483993,90.3333333
4,34.85,-3.3568664,90.3333333,,-3.2263614,90.3333333
5,34.85,-3.0892349,90.3333333,,-2.9510982,90.3333333
6,34.85,-2.8492349,90.3333333,,-2.6710982,90.3333333
7,34.85,-2.6468664,90.3333333,,-2.3334666,90.3333333
8,34.85,-2.364498,90.3333333,,-2.0610982,90.3333333
9,34.85,-2.164498,89.3333333,,-1.7387298,89.3333333
10,34.85,-1.9868664,89.3333333,,-1.3963614,89.3333333
11,34.85,-1.7868664,88.3333333,,-1.103993,88.3333333
12,34.85,-1.6816033,87.3333333,,-0.863993,87.3333333
13,34.85,-1.5016033,85.3333333,,-0.643993,85.3333333
14,34.85,-1.1768369,84.3333333,18.4984175,-0.4016245,84.3333333
15,34.85,-1.1570232,83.3333333,18.9744011,-0.1816245,83.3333333
16,34.85,-0.8364014,82.3333333,19.0497907,0.056007,82.3333333
17,34.85,-0.3727706,82.3333333,19.5314357,0.2483755,82.3333333
18,34.85,-0.0247905,81.3333333,19.6125716,0.4583755,81.3333333
19,34.85,0.1652704,80.3333333,20.0595791,0.6783755,80.3333333
20,34.85,0.2045714,80.3333333,20.0384886,0.8607439,80.3333333
21,34.85,0.1216377,79.3333333,20.2427978,1.0583755,79.3333333
1,34.8666667,-4.299912,91.3333333,,-4.0352316,91.3333333
2,34.8666667,-3.9972805,91.3333333,,-3.7578631,91.3333333
3,34.8666667,-3.6572805,90.3333333,,-3.4831263,90.3333333
4,34.8666667,-3.3546489,90.3333333,,-3.2257579,90.3333333
5,34.8666667,-3.0872805,90.3333333,,-2.951021,90.3333333
6,34.8666667,-2.8472805,90.3333333,,-2.671021,90.3333333
7,34.8666667,-2.6446489,90.3333333,,-2.3336526,90.3333333
8,34.8666667,-2.3620173,90.3333333,,-2.061021,90.3333333
9,34.8666667,-2.1620173,89.3333333,,-1.7383895,89.3333333
10,34.8666667,-1.9846489,89.3333333,,-1.3957579,89.3333333
11,34.8666667,-1.7846489,88.3333333,,-1.1031263,88.3333333
12,34.8666667,-1.679912,87.3333333,,-0.8631263,87.3333333
13,34.8666667,-1.499912,85.3333333,,-0.6431263,85.3333333
14,34.8666667,-1.1745614,84.3333333,18.5070695,-0.4004947,84.3333333
15,34.8666667,-1.1563876,83.3333333,18.9829179,-0.1804947,83.3333333
16,34.8666667,-0.8360847,82.3333333,19.0582589,0.0568737,82.3333333
17,34.8666667,-0.373937,82.3333333,19.5406874,0.2495053,82.3333333
18,34.8666667,-0.0252441,81.3333333,19.6215348,0.4595053,81.3333333
19,34.8666667,0.165981,80.3333333,20.0687263,0.6795053,80.3333333
20,34.8666667,0.2049442,80.3333333,20.0478565,0.8621369,80.3333333
21,34.8666667,0.1251018,79.3333333,20.2515705,1.0595053,79.3333333
1,34.8833333,-4.2982208,91.3333333,,-4.0335754,91.3333333
2,34.8833333,-3.995326,91.3333333,,-3.7564702,91.3333333
3,34.8833333,-3.655326,90.3333333,,-3.4822596,90.3333333
4,34.8833333,-3.3524313,90.3333333,,-3.2251544,90.3333333
5,34.8833333,-3.085326,90.3333333,,-2.9509438,90.3333333
6,34.8833333,-2.845326,90.3333333,,-2.6709438,90.3333333
7,34.8833333,-2.6424313,90.3333333,,-2.3338386,90.3333333
8,34.8833333,-2.3595366,90.3333333,,-2.0609438,90.3333333
9,34.8833333,-2.1595366,89.3333333,,-1.7380491,89.3333333
10,34.8833333,-1.9824313,89.3333333,,-1.3951544,89.3333333
11,34.8833333,-1.7824313,88.3333333,,-1.1022596,88.3333333
12,34.8833333,-1.6782208,87.3333333,,-0.8622596,87.3333333
13,34.8833333,-1.4982208,85.3333333,,-0.6422596,85.3333333
14,34.8833333,-1.1722859,84.3333333,18.5157215,-0.3993649,84.3333333
15,34.8833333,-1.1557521,83.3333333,18.9914348,-0.1793649,83.3333333
16,34.8833333,-0.8357681,82.3333333,19.0667271,0.0577404,82.3333333
17,34.8833333,-0.3751034,82.3333333,19.549939,0.2506351,82.3333333
18,34.8833333,-0.0256976,81.3333333,19.6304981,0.4606351,81.3333333
19,34.8833333,0.1666915,80.3333333,20.0778734,0.6806351,80.3333333
20,34.8833333,0.2053169,80.3333333,20.0572244,0.8635298,80.3333333
21,34.8833333,0.1285659,79.3333333,20.2603431,1.0606351,79.3333333
1,34.9,-4.2965295,91.3333333,,-4.0319193,91.3333333
2,34.9,-3.9933716,91.3333333,,-3.7550772,91.3333333
3,34.9,-3.6533716,90.3333333,,-3.481393,90.3333333
