EA_raw,Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
33.0859123,10,49.0,-10.7041562,84.9166667,-3.215825,84.9166667
,11,49.0,-9.7365694,83.9166667,-3.0462096,83.9166667
,12,49.0,-9.4365694,82.9166667,-2.7462096,82.9166667
,13,49.0,-9.1361848,80.9166667,-2.435825,80.9166667
,14,49.0,-8.8161848,79.9166667,-2.155825,79.9166667
,15,49.0,-8.5161848,78.9166667,-1.855825,78.9166667
,16,49.0,-8.1161848,78.9166667,-1.5554404,78.9166667
,17,49.0,-7.8458001,77.9166667,-1.275825,77.9166667
,18,49.0,-7.4961848,78.9166667,-0.985825,78.9166667
,19,49.0,-7.1858001,77.9166667,-0.7154404,77.9166667
,20,49.0,-6.9158001,76.9166667,-0.4254404,76.9166667
,21,49.0,-6.5654155,75.9166667,-0.1554404,75.9166667
30.0426079,1,49.0166667,-13.511457,90.9166667,-6.347948,90.9166667
30.1688537,2,49.0166667,-13.3228853,89.9166667,-5.9771787,89.9166667
30.4158597,3,49.0166667,-12.7433147,88.9166667,-5.5964095,88.9166667
30.9132197,4,49.0166667,-12.619297,88.9166667,-5.2464095,88.9166667
31.2294421,5,49.0166667,-12.2425744,87.9166667,-4.8864095,87.9166667
31.6062189,6,49.0166667,-11.8465114,86.9166667,-4.5364095,86.9166667
32.0235401,7,49.0166667,-11.3975338,86.9166667,-4.1964095,86.9166667
32.4796164,8,49.0166667,-10.9528037,85.9166667,-3.8556403,85.9166667
32.6377389,9,49.0166667,-10.8370808,84.9166667,-3.5256403,84.9166667
33.0964019,10,49.0166667,-10.7095648,84.9166667,-3.2148711,84.9166667
,11,49.0166667,-9.741137,83.9166667,-3.0456403,83.9166667
,12,49.0166667,-9.441137,82.9166667,-2.7456403,82.9166667
,13,49.0166667,-9.1403678,80.9166667,-2.4348711,80.9166667
,14,49.0166667,-8.8203678,79.9166667,-2.1548711,79.9166667
,15,49.0166667,-8.5203678,78.9166667,-1.8548711,78.9166667
,16,49.0166667,-8.1203678,78.9166667,-1.5541018,78.9166667
,17,49.0166667,-7.8495985,77.9166667,-1.2748711,77.9166667
,18,49.0166667,-7.5003678,78.9166667,-0.9848711,78.9166667
,19,49.0166667,-7.1895985,77.9166667,-0.7141018,77.9166667
,20,49.0166667,-6.9195985,76.9166667,-0.4241018,76.9166667
,21,49.0166667,-6.5688293,75.9166667,-0.1541018,75.9166667
30.0516839,1,49.0333333,-13.5176446,90.9166667,-6.3485325,90.9166667
30.1780347,2,49.0333333,-13.3280822,89.9166667,-5.9773787,89.9166667
30.4255556,3,49.0333333,-12.7498858,88.9166667,-5.5962248,88.9166667
30.9228094,4,49.0333333,-12.6247446,88.9166667,-5.2462248,88.9166667
31.2389362,5,49.0333333,-12.2477169,87.9166667,-4.8862248,87.9166667
31.6156505,6,49.0333333,-11.8511672,86.9166667,-4.5362248,86.9166667
32.0335948,7,49.0333333,-11.403235,86.9166667,-4.1962248,86.9166667
32.4891899,8,49.0333333,-10.9583062,85.9166667,-3.855071,85.9166667
32.6477129,9,49.0333333,-10.8416082,84.9166667,-3.525071,84.9166667
33.1068915,10,49.0333333,-10.7149734,84.9166667,-3.2139171,84.9166667
,11,49.0333333,-9.7457046,83.9166667,-3.045071,83.9166667
,12,49.0333333,-9.4457046,82.9166667,-2.745071,82.9166667
,13,49.0333333,-9.1445508,80.9166667,-2.4339171,80.9166667
,14,49.0333333,-8.8245508,79.9166667,-2.1539171,79.9166667
,15,49.0333333,-8.5245508,78.9166667,-1.8539171,78.9166667
,16,49.0333333,-8.1245508,78.9166667,-1.5527633,78.9166667
,17,49.0333333,-7.8533969,77.9166667,-1.2739171,77.9166667
,18,49.0333333,-7.5045508,78.9166667,-0.9839171,78.9166667
,19,49.0333333,-7.1933969,77.9166667,-0.7127633,77.9166667
,20,49.0333333,-6.9233969,76.9166667,-0.4227633,76.9166667
,21,49.0333333,-6.5722431,75.9166667,-0.1527633,75.9166667
30.0607599,1,49.05,-13.5238322,90.9166667,-6.349117,90.9166667
