Ensemble_member,Time_since_eruption,EA_diff_A,Travel_time_x,EA_diff_B,Travel_time_y
16,26.7666667,-2.401143,78.9166667,-1.1234193,78.9166667
17,26.7666667,-2.1926244,77.9166667,-0.9534193,77.9166667
18,26.7666667,-1.9826244,78.9166667,-0.7634193,78.9166667
19,26.7666667,-1.7641059,77.9166667,-0.6034193,77.9166667
20,26.7666667,-1.5541059,76.9166667,-0.4349008,76.9166667
21,26.7666667,-1.3541059,75.9166667,-0.2649008,75.9166667
1,26.7833333,-6.0363822,90.9166667,-4.2820597,90.9166667
2,26.7833333,-5.7849401,89.9166667,-4.0020597,89.9166667
3,26.7833333,-5.5399254,88.9166667,-3.7620597,88.9166667
4,26.7833333,-5.2472616,88.9166667,-3.5231708,88.9166667
5,26.7833333,-5.2266179,87.9166667,-3.3542819,87.9166667
6,26.7833333,-4.9952946,86.9166667,-3.0931708,86.9166667
7,26.7833333,-4.586961,86.9166667,-2.8542819,86.9166667
8,26.7833333,-4.2774168,85.9166667,-2.6231708,85.9166667
9,26.7833333,-4.0053362,84.9166667,-2.3731708,84.9166667
10,26.7833333,-3.7524024,84.9166667,-2.2042819,84.9166667
11,26.7833333,-3.5135706,83.9166667,-2.1131708,83.9166667
12,26.7833333,-3.3035706,82.9166667,-1.9042819,82.9166667
13,26.7833333,-3.0846817,80.9166667,-1.6942819,80.9166667
14,26.7833333,-2.8746817,79.9166667,-1.5142819,79.9166667
15,26.7833333,-2.6546817,78.9166667,-1.3142819,78.9166667
16,26.7833333,-2.4046817,78.9166667,-1.1242819,78.9166667
17,26.7833333,-2.1957928,77.9166667,-0.9542819,77.9166667
18,26.7833333,-1.9857928,78.9166667,-0.7642819,78.9166667
19,26.7833333,-1.7669039,77.9166667,-0.6042819,77.9166667
20,26.7833333,-1.5569039,76.9166667,-0.435393,76.9166667
21,26.7833333,-1.3569039,75.9166667,-0.265393,75.9166667
1,26.8,-6.0414351,90.9166667,-4.283663,90.9166667
2,26.8,-5.7892971,89.9166667,-4.003663,89.9166667
3,26.8,-5.5446409,88.9166667,-3.763663,88.9166667
4,26.8,-5.2526757,88.9166667,-3.5244038,88.9166667
5,26.8,-5.2307737,87.9166667,-3.3551445,87.9166667
6,26.8,-4.9982596,86.9166667,-3.0944038,86.9166667
7,26.8,-4.5893372,86.9166667,-2.8551445,86.9166667
